domain_id,n_molecules,n_actives,fraction_active,shift_type,internal_split
15989,1,1,1.0,scaffold,train
21216,3,3,1.0,scaffold,train
21218,1,1,1.0,scaffold,train
23915,1,1,1.0,scaffold,train
23920,1,1,1.0,scaffold,train
28463,3,1,0.3333333333333333,scaffold,train
34912,9,9,1.0,scaffold,train
29,1,1,1.0,scaffold,train
32,1,1,1.0,scaffold,train
40,1,1,1.0,scaffold,train
172,1,1,1.0,scaffold,train
676,1,1,1.0,scaffold,train
2225,1,1,1.0,scaffold,train
14233,2,2,1.0,scaffold,train
14249,1,1,1.0,scaffold,train
15990,8,8,1.0,scaffold,train
28476,1,1,1.0,scaffold,train
28477,1,0,0.0,scaffold,train
21582,4,4,1.0,scaffold,train
21990,7,7,1.0,scaffold,train
21993,13,13,1.0,scaffold,train
23943,1,1,1.0,scaffold,train
30530,1,1,1.0,scaffold,train
30756,1,1,1.0,scaffold,train
45,1,1,1.0,scaffold,train
674,1,1,1.0,scaffold,train
691,1,1,1.0,scaffold,train
2223,3,3,1.0,scaffold,train
21999,1,1,1.0,scaffold,train
23887,1,1,1.0,scaffold,train
23897,1,1,1.0,scaffold,train
23933,3,3,1.0,scaffold,train
23940,1,1,1.0,scaffold,train
23942,1,1,1.0,scaffold,train
23944,3,3,1.0,scaffold,train
27976,1,1,1.0,scaffold,train
28489,2,2,1.0,scaffold,train
28492,7,7,1.0,scaffold,train
28493,1,1,1.0,scaffold,train
30755,1,1,1.0,scaffold,train
30760,1,1,1.0,scaffold,train
41,1,1,1.0,scaffold,train
688,1,1,1.0,scaffold,train
1152,3,3,1.0,scaffold,train
1155,1,1,1.0,scaffold,train
2215,2,2,1.0,scaffold,train
2229,1,1,1.0,scaffold,train
14241,1,0,0.0,scaffold,train
14242,1,0,0.0,scaffold,train
14247,1,0,0.0,scaffold,train
16227,1,1,1.0,scaffold,train
23059,1,1,1.0,scaffold,train
23725,1,1,1.0,scaffold,train
23918,3,3,1.0,scaffold,train
23941,1,1,1.0,scaffold,train
28456,6,2,0.3333333333333333,scaffold,train
28464,3,3,1.0,scaffold,train
33438,1,1,1.0,scaffold,train
679,1,1,1.0,scaffold,train
687,1,1,1.0,scaffold,train
1156,2,2,1.0,scaffold,train
2168,1,0,0.0,scaffold,train
12970,1,1,1.0,scaffold,train
16225,1,1,1.0,scaffold,train
21247,1,1,1.0,scaffold,train
23087,1,1,1.0,scaffold,train
23735,1,1,1.0,scaffold,train
23743,1,1,1.0,scaffold,train
23956,1,1,1.0,scaffold,train
24856,1,0,0.0,scaffold,train
690,1,1,1.0,scaffold,train
1153,7,7,1.0,scaffold,train
1154,13,13,1.0,scaffold,train
1163,1,1,1.0,scaffold,train
16229,1,1,1.0,scaffold,train
16232,1,1,1.0,scaffold,train
22002,1,1,1.0,scaffold,train
23888,7,7,1.0,scaffold,train
23939,2,2,1.0,scaffold,train
23953,2,2,1.0,scaffold,train
23959,1,1,1.0,scaffold,train
26540,2,2,1.0,scaffold,train
27978,1,1,1.0,scaffold,train
28440,3,3,1.0,scaffold,train
30754,1,1,1.0,scaffold,train
682,1,1,1.0,scaffold,train
2220,3,3,1.0,scaffold,train
7092,1,1,1.0,scaffold,train
10009,2,2,1.0,scaffold,train
13266,1,1,1.0,scaffold,train
15674,1,1,1.0,scaffold,train
16226,1,1,1.0,scaffold,train
16228,1,1,1.0,scaffold,train
21994,1,1,1.0,scaffold,train
23752,1,1,1.0,scaffold,train
23895,8,8,1.0,scaffold,train
23938,9,9,1.0,scaffold,train
165,1,1,1.0,scaffold,train
683,1,1,1.0,scaffold,train
2224,1,1,1.0,scaffold,train
2801,1,1,1.0,scaffold,train
2807,1,1,1.0,scaffold,train
2810,1,1,1.0,scaffold,train
2812,1,1,1.0,scaffold,train
15556,1,1,1.0,scaffold,train
16217,1,1,1.0,scaffold,train
16219,1,1,1.0,scaffold,train
16231,1,1,1.0,scaffold,train
16237,1,1,1.0,scaffold,train
16238,1,1,1.0,scaffold,train
17481,1,1,1.0,scaffold,train
18044,1,1,1.0,scaffold,train
21989,1,1,1.0,scaffold,train
21991,7,7,1.0,scaffold,train
21992,4,4,1.0,scaffold,train
23057,1,1,1.0,scaffold,train
23751,1,1,1.0,scaffold,train
23907,1,1,1.0,scaffold,train
24675,1,1,1.0,scaffold,train
25228,1,1,1.0,scaffold,train
27920,1,1,1.0,scaffold,train
28621,1,1,1.0,scaffold,train
30450,1,1,1.0,scaffold,train
34049,2,2,1.0,scaffold,train
678,1,1,1.0,scaffold,train
2806,1,1,1.0,scaffold,train
2816,1,1,1.0,scaffold,train
4582,5,0,0.0,scaffold,train
13068,1,1,1.0,scaffold,train
15536,1,1,1.0,scaffold,train
15551,1,1,1.0,scaffold,train
16222,1,1,1.0,scaffold,train
16233,1,1,1.0,scaffold,train
16236,1,1,1.0,scaffold,train
20456,1,1,1.0,scaffold,train
20639,1,1,1.0,scaffold,train
20645,1,1,1.0,scaffold,train
21587,9,9,1.0,scaffold,train
23414,4,4,1.0,scaffold,train
23758,1,1,1.0,scaffold,train
24261,2,2,1.0,scaffold,train
24620,1,1,1.0,scaffold,train
24676,1,1,1.0,scaffold,train
28618,1,1,1.0,scaffold,train
30452,1,1,1.0,scaffold,train
30455,1,1,1.0,scaffold,train
30764,1,1,1.0,scaffold,train
332,1,1,1.0,scaffold,train
684,1,1,1.0,scaffold,train
2173,6,6,1.0,scaffold,train
4479,7,7,1.0,scaffold,train
4491,3,3,1.0,scaffold,train
4494,5,5,1.0,scaffold,train
10190,1,1,1.0,scaffold,train
13073,1,0,0.0,scaffold,train
13084,1,0,0.0,scaffold,train
13239,1,1,1.0,scaffold,train
13241,1,1,1.0,scaffold,train
15531,1,1,1.0,scaffold,train
15546,1,1,1.0,scaffold,train
15554,5,5,1.0,scaffold,train
15761,1,1,1.0,scaffold,train
16218,1,1,1.0,scaffold,train
16224,1,1,1.0,scaffold,train
16235,1,1,1.0,scaffold,train
18051,1,1,1.0,scaffold,train
20443,2,2,1.0,scaffold,train
20451,1,1,1.0,scaffold,train
20455,1,1,1.0,scaffold,train
23056,1,1,1.0,scaffold,train
23411,3,3,1.0,scaffold,train
23415,1,1,1.0,scaffold,train
23913,1,1,1.0,scaffold,train
23931,1,1,1.0,scaffold,train
24263,1,1,1.0,scaffold,train
24664,3,3,1.0,scaffold,train
24674,7,7,1.0,scaffold,train
24858,1,1,1.0,scaffold,train
26534,3,3,1.0,scaffold,train
26537,3,3,1.0,scaffold,train
28709,1,1,1.0,scaffold,train
30743,16,16,1.0,scaffold,train
34056,3,3,1.0,scaffold,train
118,1,1,1.0,scaffold,train
1556,1,1,1.0,scaffold,train
2800,1,1,1.0,scaffold,train
2808,1,1,1.0,scaffold,train
2809,1,1,1.0,scaffold,train
2811,1,1,1.0,scaffold,train
3844,3,3,1.0,scaffold,train
12955,1,1,1.0,scaffold,train
12960,1,1,1.0,scaffold,train
12967,1,1,1.0,scaffold,train
12971,1,1,1.0,scaffold,train
13558,2,2,1.0,scaffold,train
14235,2,2,1.0,scaffold,train
15532,6,6,1.0,scaffold,train
15552,1,1,1.0,scaffold,train
15559,1,1,1.0,scaffold,train
15673,34,12,0.35294117647058826,scaffold,train
16220,1,1,1.0,scaffold,train
16221,1,1,1.0,scaffold,train
16230,1,1,1.0,scaffold,train
16756,12,11,0.9166666666666666,scaffold,train
23401,1,1,1.0,scaffold,train
23905,3,3,1.0,scaffold,train
24013,1,1,1.0,scaffold,train
25189,1,1,1.0,scaffold,train
25195,1,1,1.0,scaffold,train
25204,1,1,1.0,scaffold,train
27796,3,3,1.0,scaffold,train
27926,1,1,1.0,scaffold,train
27944,1,1,1.0,scaffold,train
27999,1,1,1.0,scaffold,train
28023,1,1,1.0,scaffold,train
28612,1,1,1.0,scaffold,train
28731,1,1,1.0,scaffold,train
29882,1,1,1.0,scaffold,train
30458,1,1,1.0,scaffold,train
30520,1,1,1.0,scaffold,train
34957,1,1,1.0,scaffold,train
149,1,1,1.0,scaffold,train
150,1,1,1.0,scaffold,train
153,1,1,1.0,scaffold,train
166,1,1,1.0,scaffold,train
1455,1,1,1.0,scaffold,train
2804,1,1,1.0,scaffold,train
2815,2,2,1.0,scaffold,train
10088,1,1,1.0,scaffold,train
13555,1,1,1.0,scaffold,train
14605,1,1,1.0,scaffold,train
15535,1,1,1.0,scaffold,train
15540,1,1,1.0,scaffold,train
16139,6,6,1.0,scaffold,train
16150,1,1,1.0,scaffold,train
16168,1,1,1.0,scaffold,train
16215,1,1,1.0,scaffold,train
16234,1,1,1.0,scaffold,train
16240,1,1,1.0,scaffold,train
16890,1,1,1.0,scaffold,train
20095,1,1,1.0,scaffold,train
20642,1,1,1.0,scaffold,train
20883,1,1,1.0,scaffold,train
20885,2,2,1.0,scaffold,train
23089,3,3,1.0,scaffold,train
23131,1,1,1.0,scaffold,train
23399,2,2,1.0,scaffold,train
23403,2,2,1.0,scaffold,train
23410,1,1,1.0,scaffold,train
23419,1,1,1.0,scaffold,train
24262,6,6,1.0,scaffold,train
24268,1,1,1.0,scaffold,train
24278,2,2,1.0,scaffold,train
24557,1,1,1.0,scaffold,train
24657,6,6,1.0,scaffold,train
24850,2,2,1.0,scaffold,train
26550,1,1,1.0,scaffold,train
26552,1,1,1.0,scaffold,train
26562,1,1,1.0,scaffold,train
26875,1,1,1.0,scaffold,train
27790,2,2,1.0,scaffold,train
27839,1,1,1.0,scaffold,train
27916,1,1,1.0,scaffold,train
27993,4,4,1.0,scaffold,train
28216,1,1,1.0,scaffold,train
28217,1,1,1.0,scaffold,train
28227,4,4,1.0,scaffold,train
28228,1,1,1.0,scaffold,train
28231,3,3,1.0,scaffold,train
28234,1,1,1.0,scaffold,train
28474,9,7,0.7777777777777778,scaffold,train
28615,2,2,1.0,scaffold,train
28616,4,4,1.0,scaffold,train
28617,1,1,1.0,scaffold,train
28619,3,3,1.0,scaffold,train
28726,3,3,1.0,scaffold,train
28968,1,1,1.0,scaffold,train
28970,1,1,1.0,scaffold,train
29012,2,2,1.0,scaffold,train
29087,4,4,1.0,scaffold,train
29865,1,1,1.0,scaffold,train
30640,1,1,1.0,scaffold,train
32033,1,1,1.0,scaffold,train
34048,6,6,1.0,scaffold,train
34946,1,0,0.0,scaffold,train
277,1,1,1.0,scaffold,train
2222,3,3,1.0,scaffold,train
3838,9,9,1.0,scaffold,train
3839,7,7,1.0,scaffold,train
4556,1,1,1.0,scaffold,train
4735,1,1,1.0,scaffold,train
10162,1,1,1.0,scaffold,train
13231,1,1,1.0,scaffold,train
13871,1,1,1.0,scaffold,train
15342,7,7,1.0,scaffold,train
15693,3,3,1.0,scaffold,train
15702,5,5,1.0,scaffold,train
15711,1,1,1.0,scaffold,train
16140,4,3,0.75,scaffold,train
16223,1,1,1.0,scaffold,train
16239,1,1,1.0,scaffold,train
16889,1,1,1.0,scaffold,train
16894,1,1,1.0,scaffold,train
16895,1,1,1.0,scaffold,train
17374,1,1,1.0,scaffold,train
18246,2,2,1.0,scaffold,train
18259,1,1,1.0,scaffold,train
18264,1,1,1.0,scaffold,train
18308,1,1,1.0,scaffold,train
18311,1,1,1.0,scaffold,train
19391,1,1,1.0,scaffold,train
19842,1,1,1.0,scaffold,train
20017,1,1,1.0,scaffold,train
20637,1,1,1.0,scaffold,train
20882,1,1,1.0,scaffold,train
22292,1,1,1.0,scaffold,train
23069,3,3,1.0,scaffold,train
23112,1,1,1.0,scaffold,train
23121,2,2,1.0,scaffold,train
23132,1,1,1.0,scaffold,train
23133,1,1,1.0,scaffold,train
23724,1,1,1.0,scaffold,train
23772,1,1,1.0,scaffold,train
23773,1,1,1.0,scaffold,train
23902,1,1,1.0,scaffold,train
23911,1,1,1.0,scaffold,train
24260,3,3,1.0,scaffold,train
24264,1,1,1.0,scaffold,train
24273,1,1,1.0,scaffold,train
24633,1,1,1.0,scaffold,train
24688,3,3,1.0,scaffold,train
24851,2,2,1.0,scaffold,train
26536,3,3,1.0,scaffold,train
27102,1,1,1.0,scaffold,train
27930,1,1,1.0,scaffold,train
27951,1,1,1.0,scaffold,train
27954,1,1,1.0,scaffold,train
27974,1,1,1.0,scaffold,train
27977,1,1,1.0,scaffold,train
27985,1,1,1.0,scaffold,train
28215,2,2,1.0,scaffold,train
28229,1,1,1.0,scaffold,train
28235,1,1,1.0,scaffold,train
28237,1,1,1.0,scaffold,train
28599,1,1,1.0,scaffold,train
28608,1,1,1.0,scaffold,train
29090,1,1,1.0,scaffold,train
30753,3,3,1.0,scaffold,train
32029,2,2,1.0,scaffold,train
32047,1,1,1.0,scaffold,train
34699,6,6,1.0,scaffold,train
34908,13,10,0.7692307692307693,scaffold,train
34947,1,1,1.0,scaffold,train
34952,1,1,1.0,scaffold,train
90,1,1,1.0,scaffold,train
107,22,22,1.0,scaffold,train
1203,1,1,1.0,scaffold,train
1358,2,2,1.0,scaffold,train
2734,1,1,1.0,scaffold,train
3571,3,3,1.0,scaffold,train
3761,1,1,1.0,scaffold,train
3780,4,4,1.0,scaffold,train
3783,1,1,1.0,scaffold,train
3847,3,3,1.0,scaffold,train
4072,1,1,1.0,scaffold,train
4155,1,1,1.0,scaffold,train
4156,9,9,1.0,scaffold,train
4716,3,3,1.0,scaffold,train
4719,2,2,1.0,scaffold,train
4887,3,3,1.0,scaffold,train
9500,1,1,1.0,scaffold,train
10093,1,1,1.0,scaffold,train
10123,1,0,0.0,scaffold,train
13517,1,1,1.0,scaffold,train
13550,2,2,1.0,scaffold,train
14240,1,0,0.0,scaffold,train
14508,12,12,1.0,scaffold,train
14509,1,1,1.0,scaffold,train
14797,1,1,1.0,scaffold,train
15700,1,1,1.0,scaffold,train
15706,1,1,1.0,scaffold,train
16216,1,1,1.0,scaffold,train
16789,5,5,1.0,scaffold,train
16881,1,1,1.0,scaffold,train
17485,1,1,1.0,scaffold,train
17681,1,1,1.0,scaffold,train
17685,1,1,1.0,scaffold,train
18042,13,13,1.0,scaffold,train
18048,4,4,1.0,scaffold,train
18249,2,2,1.0,scaffold,train
18251,1,1,1.0,scaffold,train
18996,1,1,1.0,scaffold,train
19886,1,1,1.0,scaffold,train
19898,1,1,1.0,scaffold,train
20067,1,1,1.0,scaffold,train
20068,1,1,1.0,scaffold,train
20090,1,1,1.0,scaffold,train
20092,1,1,1.0,scaffold,train
20291,1,1,1.0,scaffold,train
21995,5,5,1.0,scaffold,train
22315,1,1,1.0,scaffold,train
23040,5,5,1.0,scaffold,train
23045,3,3,1.0,scaffold,train
23047,6,6,1.0,scaffold,train
23061,1,1,1.0,scaffold,train
23062,1,1,1.0,scaffold,train
23063,3,3,1.0,scaffold,train
23074,1,1,1.0,scaffold,train
23075,1,1,1.0,scaffold,train
23081,3,3,1.0,scaffold,train
23101,1,1,1.0,scaffold,train
23106,1,1,1.0,scaffold,train
23896,2,2,1.0,scaffold,train
24632,1,1,1.0,scaffold,train
24686,1,1,1.0,scaffold,train
24749,1,1,1.0,scaffold,train
25188,1,1,1.0,scaffold,train
26538,1,1,1.0,scaffold,train
26866,3,3,1.0,scaffold,train
26887,1,1,1.0,scaffold,train
26894,1,1,1.0,scaffold,train
27782,1,1,1.0,scaffold,train
27784,3,3,1.0,scaffold,train
27789,1,1,1.0,scaffold,train
27929,15,15,1.0,scaffold,train
27931,2,2,1.0,scaffold,train
27983,9,9,1.0,scaffold,train
27997,1,1,1.0,scaffold,train
28015,1,1,1.0,scaffold,train
28600,1,1,1.0,scaffold,train
28601,1,1,1.0,scaffold,train
28609,10,10,1.0,scaffold,train
28610,4,4,1.0,scaffold,train
28611,6,6,1.0,scaffold,train
28729,1,1,1.0,scaffold,train
28733,1,1,1.0,scaffold,train
29077,2,2,1.0,scaffold,train
29604,1,1,1.0,scaffold,train
29877,1,1,1.0,scaffold,train
30164,1,1,1.0,scaffold,train
32042,9,9,1.0,scaffold,train
32043,1,1,1.0,scaffold,train
32046,1,1,1.0,scaffold,train
32048,4,4,1.0,scaffold,train
34050,2,2,1.0,scaffold,train
111,3,3,1.0,scaffold,train
117,1,1,1.0,scaffold,train
122,1,1,1.0,scaffold,train
125,3,3,1.0,scaffold,train
133,2,2,1.0,scaffold,train
177,1,1,1.0,scaffold,train
1204,1,1,1.0,scaffold,train
1223,1,1,1.0,scaffold,train
1357,1,1,1.0,scaffold,train
1944,1,1,1.0,scaffold,train
2176,1,1,1.0,scaffold,train
3060,37,37,1.0,scaffold,train
3148,4,4,1.0,scaffold,train
3769,1,1,1.0,scaffold,train
3771,1,1,1.0,scaffold,train
3788,1,1,1.0,scaffold,train
3804,1,1,1.0,scaffold,train
4081,1,1,1.0,scaffold,train
4473,7,7,1.0,scaffold,train
4482,1,1,1.0,scaffold,train
4485,1,1,1.0,scaffold,train
4559,1,1,1.0,scaffold,train
4968,1,1,1.0,scaffold,train
5295,2,2,1.0,scaffold,train
6691,1,1,1.0,scaffold,train
9660,1,1,1.0,scaffold,train
13261,1,1,1.0,scaffold,train
13262,1,1,1.0,scaffold,train
13263,3,3,1.0,scaffold,train
13265,1,1,1.0,scaffold,train
13300,1,1,1.0,scaffold,train
13305,3,3,1.0,scaffold,train
13321,1,1,1.0,scaffold,train
13547,3,3,1.0,scaffold,train
14487,1,1,1.0,scaffold,train
15683,10,10,1.0,scaffold,train
15686,1,1,1.0,scaffold,train
15696,1,1,1.0,scaffold,train
15821,1,1,1.0,scaffold,train
16886,1,1,1.0,scaffold,train
16888,1,1,1.0,scaffold,train
16893,1,1,1.0,scaffold,train
17352,1,1,1.0,scaffold,train
17479,2,2,1.0,scaffold,train
17675,1,1,1.0,scaffold,train
17682,1,1,1.0,scaffold,train
19395,3,3,1.0,scaffold,train
19846,1,1,1.0,scaffold,train
20018,1,1,1.0,scaffold,train
20020,1,1,1.0,scaffold,train
20099,1,1,1.0,scaffold,train
20163,1,1,1.0,scaffold,train
20815,1,1,1.0,scaffold,train
21345,1,1,1.0,scaffold,train
21837,1,1,1.0,scaffold,train
21974,1,1,1.0,scaffold,train
23000,1,1,1.0,scaffold,train
23064,1,1,1.0,scaffold,train
23108,1,1,1.0,scaffold,train
23388,2,2,1.0,scaffold,train
23407,1,1,1.0,scaffold,train
23720,3,3,1.0,scaffold,train
23774,1,1,1.0,scaffold,train
24553,1,1,1.0,scaffold,train
24560,1,1,1.0,scaffold,train
24649,1,1,1.0,scaffold,train
24750,1,1,1.0,scaffold,train
24762,1,1,1.0,scaffold,train
25462,1,1,1.0,scaffold,train
25491,1,1,1.0,scaffold,train
25499,2,2,1.0,scaffold,train
25505,1,1,1.0,scaffold,train
25526,1,1,1.0,scaffold,train
26339,1,1,1.0,scaffold,train
26483,5,5,1.0,scaffold,train
26582,1,1,1.0,scaffold,train
26750,1,1,1.0,scaffold,train
26869,1,1,1.0,scaffold,train
26892,1,1,1.0,scaffold,train
26903,1,1,1.0,scaffold,train
26913,1,1,1.0,scaffold,train
26963,2,2,1.0,scaffold,train
27766,1,1,1.0,scaffold,train
27785,1,1,1.0,scaffold,train
27788,1,1,1.0,scaffold,train
27800,3,3,1.0,scaffold,train
27802,1,1,1.0,scaffold,train
27836,1,1,1.0,scaffold,train
27838,1,1,1.0,scaffold,train
27945,1,1,1.0,scaffold,train
27980,1,1,1.0,scaffold,train
27988,1,1,1.0,scaffold,train
28419,1,1,1.0,scaffold,train
28690,1,1,1.0,scaffold,train
28695,1,1,1.0,scaffold,train
28701,1,1,1.0,scaffold,train
29600,1,1,1.0,scaffold,train
30135,1,1,1.0,scaffold,train
31114,1,1,1.0,scaffold,train
31488,4,2,0.5,scaffold,train
32045,1,1,1.0,scaffold,train
32299,1,1,1.0,scaffold,train
34187,1,1,1.0,scaffold,train
34427,1,1,1.0,scaffold,train
35182,7,7,1.0,scaffold,train
35185,1,1,1.0,scaffold,train
35186,1,1,1.0,scaffold,train
35199,1,1,1.0,scaffold,train
35514,15,9,0.6,scaffold,train
10,1,1,1.0,scaffold,train
178,1,1,1.0,scaffold,train
186,1,1,1.0,scaffold,train
200,1,1,1.0,scaffold,train
598,1,1,1.0,scaffold,train
1552,3,3,1.0,scaffold,train
1666,1,1,1.0,scaffold,train
1669,1,1,1.0,scaffold,train
2172,6,6,1.0,scaffold,train
2174,18,18,1.0,scaffold,train
2262,3,3,1.0,scaffold,train
2263,6,6,1.0,scaffold,train
2273,7,7,1.0,scaffold,train
2275,4,4,1.0,scaffold,train
2474,3,3,1.0,scaffold,train
2614,10,10,1.0,scaffold,train
2722,1,1,1.0,scaffold,train
2723,1,1,1.0,scaffold,train
2922,1,1,1.0,scaffold,train
2928,1,1,1.0,scaffold,train
3059,10,10,1.0,scaffold,train
3149,1,1,1.0,scaffold,train
3327,1,1,1.0,scaffold,train
4083,1,1,1.0,scaffold,train
4171,4,4,1.0,scaffold,train
4554,10,10,1.0,scaffold,train
4558,1,1,1.0,scaffold,train
5425,1,1,1.0,scaffold,train
5607,1,0,0.0,scaffold,train
9534,4,4,1.0,scaffold,train
11681,1,0,0.0,scaffold,train
12352,1,1,1.0,scaffold,train
13075,2,1,0.5,scaffold,train
13205,17,17,1.0,scaffold,train
13233,2,2,1.0,scaffold,train
13302,1,1,1.0,scaffold,train
13320,1,1,1.0,scaffold,train
13655,1,1,1.0,scaffold,train
13656,3,3,1.0,scaffold,train
14253,5,5,1.0,scaffold,train
14804,1,1,1.0,scaffold,train
15348,2,2,1.0,scaffold,train
15813,1,1,1.0,scaffold,train
15819,2,2,1.0,scaffold,train
16159,1,1,1.0,scaffold,train
16173,1,1,1.0,scaffold,train
16340,1,1,1.0,scaffold,train
16342,1,1,1.0,scaffold,train
16467,1,1,1.0,scaffold,train
16782,1,1,1.0,scaffold,train
16863,1,1,1.0,scaffold,train
16870,1,1,1.0,scaffold,train
17262,1,1,1.0,scaffold,train
17484,1,1,1.0,scaffold,train
17653,1,1,1.0,scaffold,train
18061,1,1,1.0,scaffold,train
18394,1,1,1.0,scaffold,train
18509,4,4,1.0,scaffold,train
18602,1,1,1.0,scaffold,train
18648,3,3,1.0,scaffold,train
19049,3,3,1.0,scaffold,train
19384,3,3,1.0,scaffold,train
19753,1,1,1.0,scaffold,train
20013,1,1,1.0,scaffold,train
20197,1,1,1.0,scaffold,train
20198,1,1,1.0,scaffold,train
20638,2,2,1.0,scaffold,train
20997,3,3,1.0,scaffold,train
21000,2,2,1.0,scaffold,train
21801,1,1,1.0,scaffold,train
21804,1,1,1.0,scaffold,train
21814,1,1,1.0,scaffold,train
21816,1,1,1.0,scaffold,train
22557,1,1,1.0,scaffold,train
23103,1,1,1.0,scaffold,train
23127,1,1,1.0,scaffold,train
23386,1,1,1.0,scaffold,train
23393,30,30,1.0,scaffold,train
23395,6,6,1.0,scaffold,train
23398,1,1,1.0,scaffold,train
23422,6,6,1.0,scaffold,train
23717,27,24,0.8888888888888888,scaffold,train
