assay_id,split,passes_filter,n_total,n_inexact,n_invalid,n_exact,fraction_exact,n_actives,n_has_binary,fraction_active
CHEMBL1004181,train,1,44,0,0,44,1.0,22.0,44,0.5
CHEMBL1004823,train,1,35,0,0,35,1.0,35.0,35,1.0
CHEMBL1004824,train,1,35,2,0,33,0.9428571428571428,33.0,33,1.0
CHEMBL1004932,train,1,75,2,0,73,0.9733333333333334,73.0,73,1.0
CHEMBL1004946,train,1,32,0,0,32,1.0,16.0,32,0.5
CHEMBL1004985,train,1,73,0,0,73,1.0,73.0,73,1.0
CHEMBL1005039,train,1,80,0,0,80,1.0,40.0,80,0.5
CHEMBL1005398,train,1,58,0,0,58,1.0,55.0,58,0.9482758620689655
CHEMBL1005407,train,1,39,0,0,39,1.0,39.0,39,1.0
CHEMBL1005949,train,1,41,0,0,41,1.0,41.0,41,1.0
CHEMBL1006149,train,1,56,3,0,53,0.9464285714285714,28.0,53,0.5283018867924528
CHEMBL1006173,train,1,37,0,0,37,1.0,37.0,37,1.0
CHEMBL1006417,train,1,41,2,0,39,0.9512195121951219,39.0,39,1.0
CHEMBL1006419,train,1,38,0,0,38,1.0,19.0,38,0.5
CHEMBL1006568,train,1,89,6,0,83,0.9325842696629213,44.0,83,0.5301204819277109
CHEMBL1006578,train,1,39,0,0,39,1.0,38.0,39,0.9743589743589743
CHEMBL1006579,train,1,335,0,0,335,1.0,325.0,335,0.9701492537313433
CHEMBL1006966,train,1,46,14,0,32,0.6956521739130435,23.0,32,0.71875
CHEMBL1007087,train,1,51,0,0,51,1.0,51.0,51,1.0
CHEMBL1007112,train,1,60,9,0,51,0.85,49.0,51,0.9607843137254902
CHEMBL1007191,train,1,34,1,0,33,0.9705882352941176,15.0,33,0.45454545454545453
CHEMBL1007291,train,1,41,0,0,41,1.0,41.0,41,1.0
CHEMBL1007548,train,1,53,0,0,53,1.0,53.0,53,1.0
CHEMBL1007549,train,1,47,0,0,47,1.0,47.0,47,1.0
CHEMBL1007908,train,1,37,2,0,35,0.9459459459459459,34.0,35,0.9714285714285714
CHEMBL1007916,train,1,38,3,0,35,0.9210526315789473,19.0,35,0.5428571428571428
CHEMBL1008047,train,1,40,3,0,37,0.925,34.0,37,0.918918918918919
CHEMBL1008144,train,1,37,0,5,32,0.8648648648648649,0.0,32,0.0
CHEMBL1008210,train,1,38,1,0,37,0.9736842105263158,37.0,37,1.0
CHEMBL1008211,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1008236,train,1,80,2,0,78,0.975,14.0,78,0.1794871794871795
CHEMBL1008237,train,1,80,0,0,80,1.0,18.0,80,0.225
CHEMBL1008495,train,1,41,3,0,38,0.926829268292683,20.0,38,0.5263157894736842
CHEMBL1008496,train,1,51,1,0,50,0.9803921568627451,14.0,50,0.28
CHEMBL1008811,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1008834,train,1,37,3,0,34,0.918918918918919,18.0,34,0.5294117647058824
CHEMBL1008835,train,1,37,1,0,36,0.972972972972973,16.0,36,0.4444444444444444
CHEMBL1008914,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1008915,train,1,44,0,0,44,1.0,22.0,44,0.5
CHEMBL1008916,train,1,32,0,0,32,1.0,16.0,32,0.5
CHEMBL1008917,train,1,40,0,0,40,1.0,20.0,40,0.5
CHEMBL1008918,train,1,44,0,0,44,1.0,22.0,44,0.5
CHEMBL1008919,train,1,39,0,0,39,1.0,18.0,39,0.46153846153846156
CHEMBL1008920,train,1,39,0,0,39,1.0,19.0,39,0.48717948717948717
CHEMBL1008921,train,1,40,0,0,40,1.0,20.0,40,0.5
CHEMBL1008922,train,1,43,0,0,43,1.0,21.0,43,0.4883720930232558
CHEMBL1009027,train,1,46,0,0,46,1.0,23.0,46,0.5
CHEMBL1009028,train,1,47,1,0,46,0.9787234042553191,23.0,46,0.5
CHEMBL1009030,train,1,56,0,0,56,1.0,28.0,56,0.5
CHEMBL1009425,train,1,34,0,0,34,1.0,8.0,34,0.23529411764705882
CHEMBL1009426,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009427,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009428,train,1,34,0,0,34,1.0,12.0,34,0.35294117647058826
CHEMBL1009429,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009430,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009431,train,1,34,0,0,34,1.0,16.0,34,0.47058823529411764
CHEMBL1009432,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009433,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1009675,train,1,38,2,0,36,0.9473684210526315,36.0,36,1.0
CHEMBL1009861,train,1,54,0,0,54,1.0,54.0,54,1.0
CHEMBL1009862,train,1,53,0,0,53,1.0,53.0,53,1.0
CHEMBL1010124,train,1,40,2,0,38,0.95,38.0,38,1.0
CHEMBL1010125,train,1,40,2,0,38,0.95,38.0,38,1.0
CHEMBL1010167,train,1,53,0,0,53,1.0,26.0,53,0.49056603773584906
CHEMBL1010168,train,1,61,0,0,61,1.0,61.0,61,1.0
CHEMBL1010645,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1010740,train,1,35,0,0,35,1.0,17.0,35,0.4857142857142857
CHEMBL1010741,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1010742,train,1,37,0,0,37,1.0,37.0,37,1.0
CHEMBL1010779,train,1,50,0,0,50,1.0,25.0,50,0.5
CHEMBL1010781,train,1,50,0,0,50,1.0,25.0,50,0.5
CHEMBL1010815,train,1,36,0,0,36,1.0,36.0,36,1.0
CHEMBL1010817,train,1,36,1,0,35,0.9722222222222222,35.0,35,1.0
CHEMBL1010867,train,1,58,12,0,46,0.7931034482758621,41.0,46,0.8913043478260869
CHEMBL1010954,train,1,54,2,0,52,0.9629629629629629,49.0,52,0.9423076923076923
CHEMBL1010955,train,1,40,1,0,39,0.975,39.0,39,1.0
CHEMBL1011001,train,1,40,1,0,39,0.975,38.0,39,0.9743589743589743
CHEMBL1011002,train,1,37,3,0,34,0.918918918918919,34.0,34,1.0
CHEMBL1011777,train,1,89,3,0,86,0.9662921348314607,44.0,86,0.5116279069767442
CHEMBL1011882,train,1,65,5,0,60,0.9230769230769231,60.0,60,1.0
CHEMBL1011883,train,1,40,6,0,34,0.85,34.0,34,1.0
CHEMBL1011999,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1012001,train,1,32,0,0,32,1.0,30.0,32,0.9375
CHEMBL1012094,train,1,43,0,0,43,1.0,43.0,43,1.0
CHEMBL1012267,train,1,48,1,0,47,0.9791666666666666,47.0,47,1.0
CHEMBL1012268,train,1,42,9,0,33,0.7857142857142857,21.0,33,0.6363636363636364
CHEMBL1012269,train,1,42,4,0,38,0.9047619047619048,21.0,38,0.5526315789473685
CHEMBL1012728,train,1,65,0,0,65,1.0,7.0,65,0.1076923076923077
CHEMBL1012778,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1012998,train,1,54,0,0,54,1.0,0.0,54,0.0
CHEMBL1013116,train,1,85,1,0,84,0.9882352941176471,42.0,84,0.5
CHEMBL1013140,train,1,34,0,0,34,1.0,34.0,34,1.0
CHEMBL1013144,train,1,37,1,0,36,0.972972972972973,18.0,36,0.5
CHEMBL1013151,train,1,34,0,0,34,1.0,34.0,34,1.0
CHEMBL1013154,train,1,44,0,0,44,1.0,44.0,44,1.0
CHEMBL1013487,train,1,53,10,0,43,0.8113207547169812,26.0,43,0.6046511627906976
CHEMBL1013713,train,1,35,0,0,35,1.0,35.0,35,1.0
CHEMBL1013714,train,1,62,0,0,62,1.0,21.0,62,0.3387096774193548
CHEMBL1013731,train,1,38,2,0,36,0.9473684210526315,36.0,36,1.0
CHEMBL1013888,train,1,87,0,0,87,1.0,87.0,87,1.0
CHEMBL1014292,train,1,42,0,0,42,1.0,21.0,42,0.5
CHEMBL1014293,train,1,64,0,0,64,1.0,0.0,64,0.0
CHEMBL1014433,train,1,52,0,0,52,1.0,50.0,52,0.9615384615384616
CHEMBL1014434,train,1,52,0,0,52,1.0,24.0,52,0.46153846153846156
CHEMBL1014465,train,1,66,0,0,66,1.0,60.0,66,0.9090909090909091
CHEMBL1014541,train,1,37,0,0,37,1.0,37.0,37,1.0
CHEMBL1014609,train,1,40,0,0,40,1.0,18.0,40,0.45
CHEMBL1014610,train,1,41,0,0,41,1.0,41.0,41,1.0
CHEMBL1014666,train,1,58,14,0,44,0.7586206896551724,44.0,44,1.0
CHEMBL1014667,train,1,58,12,0,46,0.7931034482758621,46.0,46,1.0
CHEMBL1014940,train,1,51,0,0,51,1.0,25.0,51,0.49019607843137253
CHEMBL1015165,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1015166,train,1,34,0,0,34,1.0,2.0,34,0.058823529411764705
CHEMBL1015210,train,1,35,1,0,34,0.9714285714285714,16.0,34,0.47058823529411764
CHEMBL1015239,train,1,46,1,0,45,0.9782608695652174,45.0,45,1.0
CHEMBL1015321,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1015322,train,1,37,0,0,37,1.0,37.0,37,1.0
CHEMBL1015327,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1015630,train,1,85,0,29,56,0.6588235294117647,15.0,56,0.26785714285714285
CHEMBL1015775,train,1,51,0,10,41,0.803921568627451,25.0,41,0.6097560975609756
CHEMBL1016164,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1016165,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1016166,train,1,32,0,0,32,1.0,32.0,32,1.0
CHEMBL1016197,train,1,47,7,0,40,0.851063829787234,36.0,40,0.9
CHEMBL1016319,train,1,64,0,0,64,1.0,0.0,64,0.0
CHEMBL1016320,train,1,51,0,0,51,1.0,4.0,51,0.0784313725490196
CHEMBL1016340,train,1,54,0,0,54,1.0,13.0,54,0.24074074074074073
CHEMBL1016392,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1016909,train,1,35,0,0,35,1.0,33.0,35,0.9428571428571428
CHEMBL1016924,train,1,39,0,0,39,1.0,39.0,39,1.0
CHEMBL1017067,train,1,42,3,0,39,0.9285714285714286,21.0,39,0.5384615384615384
CHEMBL1017068,train,1,42,4,0,38,0.9047619047619048,0.0,38,0.0
CHEMBL1017607,train,1,64,2,0,62,0.96875,31.0,62,0.5
CHEMBL1017617,train,1,61,0,19,42,0.6885245901639344,6.0,42,0.14285714285714285
CHEMBL1017681,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1017706,train,1,54,0,0,54,1.0,48.0,54,0.8888888888888888
CHEMBL1017789,train,1,40,0,0,40,1.0,20.0,40,0.5
CHEMBL1018146,train,1,41,1,0,40,0.975609756097561,39.0,40,0.975
CHEMBL1018456,train,1,51,0,4,47,0.9215686274509803,25.0,47,0.5319148936170213
CHEMBL1018457,train,1,51,0,0,51,1.0,0.0,51,0.0
CHEMBL1018458,train,1,51,12,6,33,0.6470588235294118,13.0,33,0.3939393939393939
CHEMBL1018608,train,1,40,1,0,39,0.975,39.0,39,1.0
CHEMBL1018820,train,1,56,4,0,52,0.9285714285714286,52.0,52,1.0
CHEMBL1018953,train,1,74,4,0,70,0.9459459459459459,66.0,70,0.9428571428571428
CHEMBL1018954,train,1,67,14,0,53,0.7910447761194029,33.0,53,0.6226415094339622
CHEMBL1018964,train,1,51,9,0,42,0.8235294117647058,42.0,42,1.0
CHEMBL1018965,train,1,51,14,0,37,0.7254901960784313,37.0,37,1.0
CHEMBL1019228,train,1,40,0,0,40,1.0,20.0,40,0.5
CHEMBL1019550,train,1,70,0,0,70,1.0,70.0,70,1.0
CHEMBL1019580,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1019648,train,1,38,0,0,38,1.0,18.0,38,0.47368421052631576
CHEMBL1019871,train,1,42,0,0,42,1.0,42.0,42,1.0
CHEMBL1019872,train,1,43,0,0,43,1.0,21.0,43,0.4883720930232558
CHEMBL1019892,train,1,34,0,0,34,1.0,32.0,34,0.9411764705882353
CHEMBL1020015,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1020734,train,1,43,0,7,36,0.8372093023255814,2.0,36,0.05555555555555555
CHEMBL1020766,train,1,42,0,0,42,1.0,21.0,42,0.5
CHEMBL1020767,train,1,38,0,0,38,1.0,19.0,38,0.5
CHEMBL1020768,train,1,41,0,0,41,1.0,19.0,41,0.4634146341463415
CHEMBL1021071,train,1,36,0,0,36,1.0,36.0,36,1.0
CHEMBL1021292,train,1,37,2,0,35,0.9459459459459459,18.0,35,0.5142857142857142
CHEMBL1021377,train,1,171,103,0,68,0.39766081871345027,16.0,68,0.23529411764705882
CHEMBL1021382,train,1,58,0,0,58,1.0,58.0,58,1.0
CHEMBL1021383,train,1,58,0,0,58,1.0,58.0,58,1.0
CHEMBL1021384,train,1,54,0,0,54,1.0,54.0,54,1.0
CHEMBL1021385,train,1,54,1,0,53,0.9814814814814815,53.0,53,1.0
CHEMBL1021923,train,1,46,3,0,43,0.9347826086956522,43.0,43,1.0
CHEMBL1022010,train,1,141,0,0,141,1.0,63.0,141,0.44680851063829785
CHEMBL1022414,train,1,36,0,0,36,1.0,36.0,36,1.0
CHEMBL1022415,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1022416,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1022586,train,1,36,0,0,36,1.0,4.0,36,0.1111111111111111
CHEMBL1022587,train,1,36,0,0,36,1.0,2.0,36,0.05555555555555555
CHEMBL1022751,train,1,38,0,0,38,1.0,38.0,38,1.0
CHEMBL1022782,train,1,95,1,0,94,0.9894736842105263,47.0,94,0.5
CHEMBL1023357,train,1,57,0,8,49,0.8596491228070176,24.0,49,0.4897959183673469
CHEMBL1023358,train,1,57,0,0,57,1.0,26.0,57,0.45614035087719296
CHEMBL1023359,train,1,57,0,4,53,0.9298245614035088,28.0,53,0.5283018867924528
CHEMBL1023674,train,1,37,0,0,37,1.0,28.0,37,0.7567567567567568
CHEMBL1023676,train,1,42,0,0,42,1.0,17.0,42,0.40476190476190477
CHEMBL1023677,train,1,39,0,0,39,1.0,9.0,39,0.23076923076923078
CHEMBL1023810,train,1,41,5,0,36,0.8780487804878049,20.0,36,0.5555555555555556
CHEMBL1024043,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1024254,train,1,57,0,5,52,0.9122807017543859,0.0,52,0.0
CHEMBL1024326,train,1,46,5,0,41,0.8913043478260869,38.0,41,0.926829268292683
CHEMBL1024480,train,1,129,33,0,96,0.7441860465116279,27.0,96,0.28125
CHEMBL1024504,train,1,56,6,0,50,0.8928571428571429,28.0,50,0.56
CHEMBL1024553,train,1,40,1,0,39,0.975,39.0,39,1.0
CHEMBL1024560,train,1,55,0,0,55,1.0,27.0,55,0.4909090909090909
CHEMBL1024586,train,1,46,0,0,46,1.0,46.0,46,1.0
CHEMBL1024870,train,1,125,11,0,114,0.912,114.0,114,1.0
CHEMBL1024879,train,1,93,1,0,92,0.989247311827957,46.0,92,0.5
CHEMBL1024880,train,1,60,0,0,60,1.0,23.0,60,0.38333333333333336
CHEMBL1025518,train,1,46,0,0,46,1.0,46.0,46,1.0
CHEMBL1025519,train,1,42,3,0,39,0.9285714285714286,4.0,39,0.10256410256410256
CHEMBL1026061,train,1,49,0,0,49,1.0,49.0,49,1.0
CHEMBL1026063,train,1,43,1,0,42,0.9767441860465116,42.0,42,1.0
CHEMBL1026070,train,1,37,1,0,36,0.972972972972973,36.0,36,1.0
CHEMBL1026201,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1026520,train,1,44,0,0,44,1.0,22.0,44,0.5
CHEMBL1026521,train,1,43,2,0,41,0.9534883720930233,21.0,41,0.5121951219512195
CHEMBL1026899,train,1,40,0,0,40,1.0,40.0,40,1.0
CHEMBL1026910,train,1,71,0,0,71,1.0,71.0,71,1.0
CHEMBL1026911,train,1,71,0,0,71,1.0,71.0,71,1.0
CHEMBL1026914,train,1,35,0,0,35,1.0,17.0,35,0.4857142857142857
CHEMBL1026932,train,1,75,0,0,75,1.0,33.0,75,0.44
CHEMBL1026933,train,1,109,0,0,109,1.0,53.0,109,0.48623853211009177
CHEMBL1026934,train,1,119,0,0,119,1.0,109.0,119,0.9159663865546218
CHEMBL1027431,train,1,40,0,0,40,1.0,13.0,40,0.325
CHEMBL1027436,train,1,76,0,0,76,1.0,69.0,76,0.9078947368421053
CHEMBL1027437,train,1,76,0,0,76,1.0,38.0,76,0.5
CHEMBL1027667,train,1,119,0,0,119,1.0,59.0,119,0.4957983193277311
CHEMBL1027682,train,1,47,2,0,45,0.9574468085106383,21.0,45,0.4666666666666667
CHEMBL1027683,train,1,43,0,0,43,1.0,43.0,43,1.0
CHEMBL1028078,train,1,47,12,0,35,0.7446808510638298,23.0,35,0.6571428571428571
CHEMBL1028089,train,1,115,0,0,115,1.0,57.0,115,0.4956521739130435
CHEMBL1028497,train,1,42,10,0,32,0.7619047619047619,32.0,32,1.0
CHEMBL1028693,train,1,94,19,0,75,0.7978723404255319,75.0,75,1.0
CHEMBL1030150,train,1,50,0,0,50,1.0,50.0,50,1.0
CHEMBL1030432,train,1,60,0,0,60,1.0,30.0,60,0.5
CHEMBL1030446,train,1,48,0,0,48,1.0,24.0,48,0.5
CHEMBL1030449,train,1,52,0,0,52,1.0,25.0,52,0.4807692307692308
CHEMBL1030535,train,1,43,7,0,36,0.8372093023255814,21.0,36,0.5833333333333334
CHEMBL1030543,train,1,47,0,0,47,1.0,47.0,47,1.0
CHEMBL1030544,train,1,47,0,0,47,1.0,23.0,47,0.48936170212765956
CHEMBL1030545,train,1,47,0,0,47,1.0,17.0,47,0.3617021276595745
CHEMBL1030546,train,1,47,0,0,47,1.0,47.0,47,1.0
CHEMBL1030592,train,1,32,0,0,32,1.0,16.0,32,0.5
CHEMBL1030595,train,1,32,0,0,32,1.0,16.0,32,0.5
CHEMBL1030615,train,1,34,2,0,32,0.9411764705882353,32.0,32,1.0
CHEMBL1030616,train,1,37,1,0,36,0.972972972972973,36.0,36,1.0
CHEMBL1030622,train,1,68,0,0,68,1.0,68.0,68,1.0
CHEMBL1030623,train,1,67,0,0,67,1.0,33.0,67,0.4925373134328358
CHEMBL1030624,train,1,67,0,0,67,1.0,65.0,67,0.9701492537313433
CHEMBL1030625,train,1,65,0,0,65,1.0,61.0,65,0.9384615384615385
CHEMBL1030770,train,1,35,0,0,35,1.0,35.0,35,1.0
CHEMBL1030771,train,1,35,2,0,33,0.9428571428571428,16.0,33,0.48484848484848486
CHEMBL1031294,train,1,43,7,0,36,0.8372093023255814,36.0,36,1.0
CHEMBL1031295,train,1,38,6,0,32,0.8421052631578947,32.0,32,1.0
CHEMBL1031353,train,1,38,0,0,38,1.0,19.0,38,0.5
CHEMBL1031354,train,1,38,0,0,38,1.0,38.0,38,1.0
CHEMBL1031355,train,1,38,0,0,38,1.0,19.0,38,0.5
CHEMBL1031356,train,1,38,0,0,38,1.0,38.0,38,1.0
CHEMBL1031357,train,1,38,0,0,38,1.0,38.0,38,1.0
CHEMBL1031359,train,1,201,0,0,201,1.0,191.0,201,0.9502487562189055
CHEMBL1031363,train,1,35,0,0,35,1.0,35.0,35,1.0
CHEMBL1031364,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1031546,train,1,36,2,0,34,0.9444444444444444,34.0,34,1.0
CHEMBL1031548,train,1,34,1,0,33,0.9705882352941176,33.0,33,1.0
CHEMBL1031555,train,1,40,0,0,40,1.0,4.0,40,0.1
CHEMBL1032034,train,1,34,2,0,32,0.9411764705882353,17.0,32,0.53125
CHEMBL1032035,train,1,34,2,0,32,0.9411764705882353,17.0,32,0.53125
CHEMBL1032753,train,1,74,0,0,74,1.0,37.0,74,0.5
CHEMBL1032956,train,1,51,8,0,43,0.8431372549019608,2.0,43,0.046511627906976744
CHEMBL1033172,train,1,34,0,0,34,1.0,34.0,34,1.0
CHEMBL1033173,train,1,34,0,0,34,1.0,15.0,34,0.4411764705882353
CHEMBL1033175,train,1,34,0,0,34,1.0,17.0,34,0.5
CHEMBL1033239,train,1,98,0,0,98,1.0,47.0,98,0.47959183673469385
CHEMBL1033557,train,1,35,1,0,34,0.9714285714285714,4.0,34,0.11764705882352941
CHEMBL1033612,train,1,44,10,0,34,0.7727272727272727,21.0,34,0.6176470588235294
CHEMBL1033786,train,1,52,4,0,48,0.9230769230769231,26.0,48,0.5416666666666666
CHEMBL1033787,train,1,52,15,0,37,0.7115384615384616,26.0,37,0.7027027027027027
CHEMBL1033788,train,1,52,19,0,33,0.6346153846153846,18.0,33,0.5454545454545454
CHEMBL1033990,train,1,33,0,0,33,1.0,23.0,33,0.696969696969697
CHEMBL1033991,train,1,79,0,0,79,1.0,39.0,79,0.4936708860759494
CHEMBL1033992,train,1,48,0,0,48,1.0,37.0,48,0.7708333333333334
CHEMBL1033993,train,1,47,0,0,47,1.0,38.0,47,0.8085106382978723
CHEMBL1033994,train,1,280,0,0,280,1.0,140.0,280,0.5
CHEMBL1033996,train,1,56,0,0,56,1.0,44.0,56,0.7857142857142857
CHEMBL1033999,train,1,38,0,0,38,1.0,19.0,38,0.5
CHEMBL1034017,train,1,45,0,0,45,1.0,22.0,45,0.4888888888888889
CHEMBL1034018,train,1,47,0,0,47,1.0,33.0,47,0.7021276595744681
CHEMBL1034062,train,1,35,1,0,34,0.9714285714285714,34.0,34,1.0
CHEMBL1034201,train,1,40,2,0,38,0.95,38.0,38,1.0
CHEMBL1034373,train,1,57,0,20,37,0.6491228070175439,0.0,37,0.0
CHEMBL1034478,train,1,32,0,0,32,1.0,28.0,32,0.875
CHEMBL1034533,train,1,147,18,0,129,0.8775510204081632,73.0,129,0.5658914728682171
CHEMBL1034534,train,1,147,17,0,130,0.8843537414965986,70.0,130,0.5384615384615384
CHEMBL1034535,train,1,147,0,0,147,1.0,73.0,147,0.4965986394557823
CHEMBL1034537,train,1,61,14,0,47,0.7704918032786885,30.0,47,0.6382978723404256
CHEMBL1034538,train,1,51,0,1,50,0.9803921568627451,6.0,50,0.12
CHEMBL1035046,train,1,41,0,0,41,1.0,17.0,41,0.4146341463414634
CHEMBL1035201,train,1,38,0,0,38,1.0,38.0,38,1.0
CHEMBL1035202,train,1,45,0,0,45,1.0,45.0,45,1.0
CHEMBL1035203,train,1,38,2,0,36,0.9473684210526315,36.0,36,1.0
CHEMBL1035204,train,1,39,0,0,39,1.0,39.0,39,1.0
CHEMBL1035210,train,1,49,3,0,46,0.9387755102040817,24.0,46,0.5217391304347826
CHEMBL1035280,train,1,51,0,0,51,1.0,25.0,51,0.49019607843137253
CHEMBL1035609,train,1,47,0,0,47,1.0,47.0,47,1.0
CHEMBL1035782,train,1,56,7,0,49,0.875,6.0,49,0.12244897959183673
CHEMBL1035852,train,1,41,0,0,41,1.0,3.0,41,0.07317073170731707
CHEMBL1036178,train,1,67,2,0,65,0.9701492537313433,65.0,65,1.0
CHEMBL1036179,train,1,63,10,0,53,0.8412698412698413,53.0,53,1.0
CHEMBL1036188,train,1,35,0,0,35,1.0,35.0,35,1.0
CHEMBL1036448,train,1,55,8,0,47,0.8545454545454545,2.0,47,0.0425531914893617
CHEMBL1036605,train,1,78,2,0,76,0.9743589743589743,72.0,76,0.9473684210526315
CHEMBL1036747,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1036870,train,1,33,1,0,32,0.9696969696969697,30.0,32,0.9375
CHEMBL1036965,train,1,42,1,0,41,0.9761904761904762,40.0,41,0.975609756097561
CHEMBL1036977,train,1,42,8,0,34,0.8095238095238095,21.0,34,0.6176470588235294
CHEMBL1036978,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1037322,train,1,50,0,0,50,1.0,25.0,50,0.5
CHEMBL1037323,train,1,45,0,0,45,1.0,11.0,45,0.24444444444444444
CHEMBL1037324,train,1,46,1,0,45,0.9782608695652174,23.0,45,0.5111111111111111
CHEMBL1037716,train,1,51,0,0,51,1.0,51.0,51,1.0
CHEMBL1037717,train,1,190,0,0,190,1.0,190.0,190,1.0
